Negative Discrimination;Positive Discrimination;smoker_yes;GDS-;GDS+
0.16505198707390645;0.16001932187252252;1;0.5077408634088548;0.4922591365911452
0.14757899522525406;0.15960343164590052;0;0.48042785757127626;0.5195721424287237
0.1475789952252541;0.1522673338944406;0;0.4921820976048785;0.5078179023951215
0.16494271303458166;0.15477647040819362;0;0.5158987060409024;0.4841012939590976
0.1512947211859293;0.15053558018157162;0;0.5012575626120345;0.49874243738796553
0.14813635411935536;0.14310582348894293;0;0.5086363360412347;0.4913636639587653
0.14813635411935536;0.17310582348894293;0;0.4611360663230939;0.5388639336769061
0.1444206281586802;0.14483757720181192;0;0.4992792787976194;0.5007207212023805
0.15129472118592924;0.15053558018157162;0;0.5012575626120342;0.49874243738796575
0.15806862000733257;0.15763602973050828;0;0.500685118634115;0.499314881365885
0.14757899522525403;0.15960343164590052;0;0.48042785757127626;0.5195721424287237
0.16505198707390645;0.161240786423137;1;0.5058401548552898;0.49415984514471023
0.14757899522525403;0.15960343164590052;0;0.48042785757127626;0.5195721424287237
0.15806862000733257;0.15763602973050828;0;0.500685118634115;0.499314881365885
0.16821035414048036;0.16744907856515118;1;0.5011339999731168;0.4988660000268832
0.14757899522525406;0.15960343164590052;0;0.48042785757127626;0.5195721424287237
0.15806862000733257;0.15763602973050828;0;0.500685118634115;0.499314881365885
0.14757899522525403;0.15960343164590052;0;0.48042785757127626;0.5195721424287237
0.16122698707390645;0.16506578642313696;0;0.49411755383349715;0.5058824461665028
0.17192608010115554;0.15838122710082228;1;0.5205034110735716;0.47949658892642844
0.15806862000733257;0.15763602973050828;0;0.500685118634115;0.499314881365885
0.14813635411935536;0.14310582348894293;0;0.5086363360412347;0.4913636639587653
0.14757899522525403;0.15960343164590052;0;0.48042785757127626;0.5195721424287237
0.16876771303458166;0.1509514704081936;1;0.5278623297397118;0.4721376702602882
0.15129472118592924;0.15053558018157162;0;0.5012575626120342;0.49874243738796575
0.15435289404665742;0.1593677834433773;0;0.49200739741345356;0.5079926025865464
