Name,Positive Score,Avg. Positive Steps,Negative Score,Avg. Negative Steps,Intermediate Node,Inconclusive Score,Veredict
sex_Female,0.0,0.0,0.38,2.55,marital_status_Never_married: 63.16% of times,0.62,Too many inconclusive outputs
sex_Male,0.42,2.9,0.0,0.0,occupation_Exec_managerial: 45.24% of times,0.58,Too many inconclusive outputs
workclass_Private,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
workclass_Local_gov,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
workclass_Self_emp_inc,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
workclass_Self_emp_not_inc,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
workclass_Federal_gov,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
workclass_State_gov,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
workclass_Without_pay,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
workclass_Never_worked,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
education_Some_college,0.0,0.0,0.46,3.28,marital_status_Never_married: 71.74% of times,0.54,Apparent Negative Discrimination
education_Bachelors,0.5,1.32,0.0,0.0,None,0.5,Apparent Favoritism
education_HS_grad,0.0,0.0,0.34,1.29,None,0.66,Too many inconclusive outputs
education_9th,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
education_10th,0.0,0.0,0.56,2.0,occupation_Other_service: 100% of times,0.44,Apparent Negative Discrimination
education_Prof_school,0.34,1.0,0.0,0.0,None,0.66,Too many inconclusive outputs
education_Assoc_voc,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
education_Masters,0.51,1.29,0.0,0.0,None,0.49,Apparent Favoritism
education_12th,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
education_7th_8th,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
