Negative Discrimination;Positive Discrimination;sex_male;GDS-;GDS+
0.14326771303458172;0.19426021209914457;0;0.4244618070573568;0.5755381929426432
0.13494271303458172;0.14258521209914454;1;0.48623111699321736;0.5137688830067826
0.14192608010115562;0.1474114333423877;1;0.4905208398732189;0.5094791601267812
0.11326771303458169;0.19548167664975902;1;0.36685971476861656;0.6331402852313834
0.11326771303458169;0.165481676649759;1;0.4063424611004439;0.5936575388995561
0.11326771303458169;0.165481676649759;0;0.4063424611004439;0.5936575388995561
0.13494271303458172;0.1352491143476846;0;0.4994329930033942;0.5005670069966057
0.1419260801011556;0.1474114333423877;0;0.4905208398732188;0.5094791601267812
0.1164260801011556;0.1729114333423877;1;0.40238847260251004;0.59761152739749
0.1333354471466045;0.18095147040819365;0;0.42424752574486824;0.5757524742551318
0.11326771303458172;0.16426021209914454;1;0.4081308682000339;0.591869131799966
0.1633354471466045;0.18095147040819365;0;0.4744166531410749;0.525583346858925
0.11326771303458172;0.16426021209914454;1;0.4081308682000339;0.591869131799966
0.1333354471466045;0.18095147040819365;0;0.42424752574486824;0.5757524742551318
0.14326771303458172;0.19426021209914457;1;0.4244618070573568;0.5755381929426432
0.13494271303458172;0.14258521209914454;1;0.48623111699321736;0.5137688830067826
0.1550104471466045;0.15927647040819362;0;0.4932131707950502;0.5067868292049498
0.11326771303458172;0.16426021209914454;1;0.4081308682000339;0.591869131799966
0.1333354471466045;0.18095147040819365;1;0.42424752574486824;0.5757524742551318
0.14326771303458172;0.19548167664975907;1;0.4229312801658001;0.5770687198341999
0.1333354471466045;0.18095147040819365;0;0.42424752574486824;0.5757524742551318
0.13494271303458172;0.14380667664975902;0;0.48410047888317365;0.5158995211168264
0.11326771303458172;0.16426021209914454;1;0.4081308682000339;0.591869131799966
0.16494271303458174;0.17380667664975905;0;0.48691663529868345;0.5130833647013165
0.1164260801011556;0.1729114333423877;1;0.40238847260251004;0.59761152739749
0.16199381421317843;0.16288122710082237;0;0.49863422427888787;0.5013657757211121
0.1333354471466045;0.18095147040819365;0;0.42424752574486824;0.5757524742551318
