Negative Discrimination;Positive Discrimination;checking_status_lt_0;checking_status_from_0_lt_200;checking_status_no_checking;checking_status_ge_200;duration_le_17d6;duration_gt_31d2;duration_from_17d6_le_31d2;credit_history_critical_or_other_existing_credit;credit_history_existing_paid;credit_history_delayed_previously;credit_history_no_credits_or_all_paid;credit_history_all_paid;purpose_radio_or_tv;purpose_education;purpose_furniture_or_equipment;purpose_new_car;purpose_used_car;purpose_business;purpose_other;purpose_retraining;credit_amount_le_38848d8;credit_amount_from_38848d8_le_7519d6;credit_amount_from_7519d6_le_11154d4;credit_amount_from_11154d4_le_14789d2;credit_amount_gt_14789d2;savings_status_no_known_savings;savings_status_lt_100;savings_status_from_500_lt_1000;savings_status_from_100_lt_500;employment_ge_7;employment_from_1_lt_4;employment_from_4_lt_7;employment_unemployed;employment_lt_1;installment_commitment_gt_2d8;installment_commitment_le_1d6;personal_status_male_single;personal_status_female_div_or_dep_or_mar;personal_status_male_mar_or_wid;other_parties_none;other_parties_guarantor;other_parties_co_applicant;residence_since_gt_2d8;residence_since_from_1d6_le_2d2;residence_since_le_1d6;property_magnitude_real_estate;property_magnitude_life_insurance;property_magnitude_no_known_property;property_magnitude_car;age_gt_52d6;age_le_30d2;age_from_41d4_le_52d6;age_from_30d2_le_41d4;other_payment_plans_none;other_payment_plans_bank;other_payment_plans_stores;housing_own;housing_for_free;housing_rent;existing_credits_from_1d6_le_2d2;existing_credits_le_1d6;existing_credits_gt_2d2;job_skilled;job_unskilled_resident;job_high_qualif_or_self_emp_or_mgmt;job_unemp_or_unskilled_non_res;num_dependents_le_1d2;num_dependents_gt_1d2;own_telephone_yes;own_telephone_none;foreign_worker_no;positive;negative;GDS-;GDS+
0.01496832379313984;0.011189528664900372;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0.5722306071245916;0.4277693928754084
0.015658448832328614;0.011136705847532725;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0.5843761314092046;0.41562386859079536
0.013224965698784317;0.01538007127829626;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0.46232996340402055;0.5376700365959795
0.015583712194859227;0.011894952310972349;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0.5671204359859636;0.4328795640140364
0.023000756871744257;0.011952704808851564;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0.6580394549165061;0.34196054508349394
0.02002743498493986;0.02344947703595271;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;1;0;0.4606452954919106;0.5393547045080894
0.012448509544752566;0.016140887199394178;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0.4354240019877724;0.5645759980122276
0.015860301297424013;0.019222794636105475;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0.45207815545908153;0.5479218445409184
0.01288102089486069;0.016152191802583586;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0.44366502009591846;0.5563349799040815
0.015890384419966576;0.011968959208433834;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0.5703789949942532;0.42962100500574685
