Name,Positive Score,Avg. Positive Steps,Negative Score,Avg. Negative Steps,Intermediate Node,Inconclusive Score,Veredict
prior_number_Low,1.0,1.0,0.0,0.0,None,0.0,Favoritism
prior_number_Medium,0.151,1.0,0.0,0.0,None,0.849,Too many inconclusive outputs
prior_number_High,0.0,0.0,0.731,1.0,None,0.269,Negative Discrimination
c_charge_degree_F,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
c_charge_degree_M,1.0,2.0,0.0,0.0,prior_number_Low: 100% of times,0.0,Explainable/Conditional favoritism because of prior_number_Low
race_African_American,0.063,3.0,0.774,1.58,None,0.163,Negative Discrimination
race_Caucasian,0.937,1.96,0.0,0.0,prior_number_Low: 50.16% of times,0.063,Explainable/Conditional favoritism because of prior_number_Low
Age_25_45,0.0,0.0,0.755,1.93,prior_number_High: 92.98% of times,0.245,Explainable/Conditional discrimination because of prior_number_High
age_Greater_45,0.956,1.55,0.002,2.0,None,0.042,Favoritism
age_Less_25,0.434,2.0,0.228,1.0,prior_number_Low: 65.56% of times,0.338,Apparent Favoritism
sex_Female,1.0,2.0,0.0,0.0,prior_number_Low: 100% of times,0.0,Explainable/Conditional favoritism because of prior_number_Low
sex_Male,0.0,0.0,0.725,2.0,prior_number_High: 100% of times,0.275,Explainable/Conditional discrimination because of prior_number_High
