Name,Positive Score,Avg. Positive Steps,Negative Score,Avg. Negative Steps,Intermediate Node,Inconclusive Score,Veredict
sex_Female,0.0,0.0,0.5,2.4,marital_status_Never_married: 80.00% of times,0.5,Apparent Negative Discrimination
sex_Male,0.4,2.75,0.0,0.0,occupation_Exec_managerial: 50.00% of times,0.6,Too many inconclusive outputs
workclass_Private,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
workclass_Local_gov,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
workclass_Self_emp_inc,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
workclass_Self_emp_not_inc,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
workclass_Federal_gov,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
workclass_State_gov,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
workclass_Without_pay,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
workclass_Never_worked,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
education_Some_college,0.0,0.0,0.4,3.0,marital_status_Never_married: 100% of times,0.6,Too many inconclusive outputs
education_Bachelors,0.6,1.5,0.0,0.0,None,0.4,Apparent Favoritism
education_HS_grad,0.0,0.0,0.2,1.0,None,0.8,Too many inconclusive outputs
education_9th,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
education_10th,0.0,0.0,0.6,2.0,occupation_Other_service: 100% of times,0.4,Apparent Negative Discrimination
education_Prof_school,0.5,1.0,0.0,0.0,None,0.5,Apparent Favoritism
education_Assoc_voc,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
education_Masters,0.5,1.4,0.0,0.0,None,0.5,Apparent Favoritism
education_12th,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
education_7th_8th,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
education_Assoc_acdm,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
education_11th,0.0,0.0,0.6,2.83,marital_status_Never_married: 83.33% of times,0.4,Apparent Negative Discrimination
education_5th_6th,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
education_Doctorate,0.3,1.0,0.0,0.0,None,0.7,Too many inconclusive outputs
education_1st_4th,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
education_Preschool,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
marital_status_Never_married,0.2,3.0,0.8,1.38,None,0.0,Negative Discrimination
marital_status_Separated,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
marital_status_Married_civ_spouse,0.5,1.4,0.0,0.0,None,0.5,Apparent Favoritism
marital_status_Divorced,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
marital_status_Married_spouse_absent,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
marital_status_Widowed,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
marital_status_Married_AF_spouse,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
occupation_Sales,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
occupation_Other_service,0.0,0.0,1.0,1.0,None,0.0,Negative Discrimination
occupation_Prof_specialty,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
