Name,Positive Score,Avg. Positive Steps,Negative Score,Avg. Negative Steps,Intermediate Node,Inconclusive Score,Veredict
PublicationRate_Low,0.854,2.0,0.0,0.0,Dept_Surgery: 61.12% of times,0.146,Explainable/Conditional favoritism because of Dept_Surgery
PublicationRate_Medium,0.69,2.0,0.0,0.0,Dept_Medicine: 63.77% of times,0.31,Explainable/Conditional favoritism because of Dept_Medicine
PublicationRate_High,0.0,0.0,0.73,1.48,None,0.27,Negative Discrimination
PublicationRate_Very_High,0.0,0.0,0.552,2.0,Research_emphasis: 71.38% of times,0.448,Apparent Negative Discrimination
years_since_MD_Low,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
years_since_MD_Medium,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
years_since_MD_High,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
years_since_MD_Very_High,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
Dept_Biochemistry,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
Dept_Physiology,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
Dept_Genetics,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
Dept_Pediatrics,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
Dept_Medicine,1.0,1.0,0.0,0.0,None,0.0,Favoritism
Dept_Surgery,1.0,1.0,0.0,0.0,None,0.0,Favoritism
Gender_Female,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
Gender_Male,0.344,3.0,0.0,0.0,Dept_Surgery: 57.56% of times,0.656,Too many inconclusive outputs
Research_emphasis,0.0,0.0,1.0,1.0,None,0.0,Negative Discrimination
Clinical_emphasis,0.682,1.0,0.0,0.0,None,0.318,Favoritism
Board_certified_no,0.0,0.0,0.762,1.0,None,0.238,Negative Discrimination
Board_certified_yes,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
Rank_Assistant,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
Rank_Associate,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
Rank_FullProfessor,0.0,0.0,0.0,0.0,-,1.0,Too many inconclusive outputs
